DEBUG 2018-11-05 10:05:05,787 528064ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
DEBUG 2018-11-05 10:05:05,826 528103ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
DEBUG 2018-11-05 10:05:05,863 528140ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
INFO  2018-11-05 10:05:08,492 530769ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'AD Nov 5th Test'
DEBUG 2018-11-05 10:05:08,531 530808ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-05 10:05:10,211 532488ms QuoteServices          SaveToDatabase     - NewRecordAdded: False
DEBUG 2018-11-05 10:05:10,237 532514ms QuoteServices          SaveToDatabase     - Entry.State = 'modified'
INFO  2018-11-05 10:05:10,262 532539ms QuoteServices          SaveToDatabase     - Quote 'AD Nov 5th Test' has been updated.
DEBUG 2018-11-05 10:05:10,289 532566ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-05 10:05:10,516 532793ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-05 10:05:10,553 532830ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
INFO  2018-11-05 10:05:31,635 553912ms Repository             ItemsQueryBySearch - search.TotalRecords : 4
INFO  2018-11-05 10:06:10,845 593122ms Repository             ItemsQueryBySearch - search.TotalRecords : 4
INFO  2018-11-05 10:06:27,073 609350ms QuoteServices          GetEntity          - Enter GetEntity for quote: 
DEBUG 2018-11-05 10:06:32,324 614601ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 4
DEBUG 2018-11-05 10:06:32,356 614633ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
DEBUG 2018-11-05 10:06:32,388 614665ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
DEBUG 2018-11-05 10:06:32,421 614698ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
DEBUG 2018-11-05 10:06:32,460 614737ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
INFO  2018-11-05 10:06:35,049 617326ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'AD Nov 5th Test'
DEBUG 2018-11-05 10:06:35,083 617360ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-05 10:06:36,100 618377ms QuoteServices          SaveToDatabase     - NewRecordAdded: False
DEBUG 2018-11-05 10:06:36,133 618410ms QuoteServices          SaveToDatabase     - Entry.State = 'modified'
INFO  2018-11-05 10:06:36,158 618435ms QuoteServices          SaveToDatabase     - Quote 'AD Nov 5th Test' has been updated.
DEBUG 2018-11-05 10:06:36,183 618460ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-05 10:06:36,488 618765ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-05 10:06:36,512 618789ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
INFO  2018-11-05 10:06:41,072 623349ms Repository             ItemsQueryBySearch - search.TotalRecords : 4
INFO  2018-11-05 10:06:56,290 638567ms Repository             ItemsQueryBySearch - search.TotalRecords : 4
INFO  2018-11-05 10:08:02,485 704762ms ProjectServices        SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.ProjectModel Entity: DPO.Data.Project Description: Project 'AD Test Nov 5th 2018'
DEBUG 2018-11-05 10:08:02,522 704799ms ProjectServices        SaveToDatabase     - Get the Entry
DEBUG 2018-11-05 10:08:02,563 704840ms ProjectServices        SaveToDatabase     - NewRecordAdded: False
DEBUG 2018-11-05 10:08:02,600 704877ms ProjectServices        SaveToDatabase     - Entry.State = 'modified'
INFO  2018-11-05 10:08:02,642 704919ms ProjectServices        SaveToDatabase     - Project 'AD Test Nov 5th 2018' has been updated.
DEBUG 2018-11-05 10:08:02,677 704954ms ProjectServices        SaveToDatabase     - try to save to database
DEBUG 2018-11-05 10:08:02,869 705146ms ProjectServices        SaveToDatabase     - DPO.Common.Message
INFO  2018-11-05 10:08:02,908 705185ms ProjectServices        SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.ProjectModel
